symbol,price,change,low,high,ema20,ema50,ema100,ema200,score
LAURUSLABS,1558.9,1.9,1527.2,1572.2,1508.13,1418.49,1303.83,1172.72,52.58
BALRAMCHIN,600.05,-0.73,594.0,606.25,572.7,550.85,528.97,518.82,49.99
SCHAEFFLER,4155.2,0.22,4120.5,4219.0,4130.68,4115.02,4078.6,4058.59,49.18
WELCORP,1615.8,2.17,1582.7,1643.6,1555.74,1431.29,1275.21,1122.39,48.69
BHARATFORG,2209.0,0.84,2169.1,2215.4,2118.19,2036.69,1917.16,1738.38,48.05
ADANIENT,3183.3,0.72,3133.0,3189.0,3108.61,2934.61,2715.0,2558.93,47.85
TATATECH,748.7,-1.23,732.05,775.0,737.3,711.48,681.03,668.69,47.75
CRAFTSMAN,9393.5,3.17,9140.0,9432.0,9220.12,8955.88,8499.52,7948.73,47.51
GRANULES,876.1,-0.53,872.0,901.0,851.93,798.81,738.87,669.27,46.74
ABB,7517.0,0.15,7416.5,7574.0,7116.91,6977.45,6702.83,6313.79,46.36
ABCAPITAL,401.15,-0.1,394.25,402.85,394.63,378.28,363.0,344.35,45.89
DEEPAKFERT,1605.1,0.7,1576.5,1619.0,1561.52,1482.22,1385.79,1354.99,45.78
BANDHANBNK,211.34,-0.9,209.57,213.88,208.15,202.4,192.31,182.33,43.96
BHEL,417.5,-1.07,414.4,427.25,405.0,390.34,361.28,325.24,43.75
NEULANDLAB,18949.0,2.79,18442.0,19170.0,18599.7,17645.62,16596.7,15747.44,43.64
CIEINDIA,473.8,0.02,471.0,481.0,465.43,462.67,457.8,448.06,42.94
PREMIERENE,1086.4,0.02,1020.5,1096.2,1073.21,1044.49,1001.32,976.55,42.8
HSCL,769.9,3.82,741.1,786.85,684.58,647.96,599.5,553.05,42.62
THELEELA,492.55,1.42,481.3,494.8,482.5,461.68,446.93,439.75,42.21
JBCHEPHARM,2408.9,0.0,2408.9,2408.9,2371.48,2268.91,2164.24,2034.23,39.95
GABRIEL,1398.0,4.59,1331.1,1453.0,1267.9,1181.94,1114.51,1074.86,38.96
NESTLEIND,1446.3,1.34,1420.6,1456.0,1431.87,1413.34,1378.42,1332.17,37.9
SHYAMMETL,1055.0,3.18,1020.5,1090.0,992.7,958.73,923.39,901.34,37.81
WOCKPHARMA,1923.4,1.19,1882.0,1950.0,1893.36,1823.63,1696.62,1603.26,37.53
EXIDEIND,436.65,0.33,433.7,443.25,413.88,393.0,375.63,369.39,37.1
BAJAJ-AUTO,10522.5,0.76,10401.5,10535.0,10182.39,10098.96,9930.44,9617.9,36.89
EICHERMOT,7563.5,0.0,7478.0,7582.0,7409.64,7340.78,7268.98,7065.96,36.78
GODREJIND,1364.8,2.26,1327.3,1379.0,1262.9,1168.74,1103.09,1076.85,36.44
JINDALSAW,265.95,-1.3,262.25,267.1,261.7,249.89,233.43,219.23,36.43
OBEROIRLTY,1882.7,-0.64,1841.0,1911.0,1845.93,1763.33,1703.17,1681.18,36.05
